bank,bank_agents,bank_envs,environment_steps,greedy_action_disagreement,mean_entropy_delta_drtp_minus_utr,mean_entropy_drtp,mean_entropy_utr,mean_js_divergence,mean_total_variation,milestone,seed,seed_class,source_contract,status
paired_utr_500k_runtime_obs,3,4,5000000,0.4166666666666667,-0.0860985741019249,0.7969704270362854,0.8830690383911133,0.20405077934265137,0.4611574709415436,5m,2003,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,5500000,0.8333333333333334,0.4240068197250366,1.3165539503097534,0.892547070980072,0.37899839878082275,0.7264822125434875,5500k,2003,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,6000000,1.0,0.1613795906305313,1.2779146432876587,1.1165350675582886,0.35054150223731995,0.6794641613960266,6m,2003,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,6500000,1.0,0.30918535590171814,1.0325207710266113,0.723335325717926,0.43253275752067566,0.8061293959617615,6500k,2003,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,7000000,0.9166666666666666,0.12124300748109818,0.899539053440094,0.7782959938049316,0.43102261424064636,0.7537663578987122,7m,2003,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,7500000,0.6666666666666666,0.07562624663114548,1.035889744758606,0.9602635502815247,0.3515476882457733,0.6749408841133118,7500k,2003,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,8000000,0.9166666666666666,0.2626835107803345,0.9932307600975037,0.7305472493171692,0.38163235783576965,0.7112955451011658,8m,2003,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,8500000,1.0,0.12994317710399628,1.0548502206802368,0.9249071478843689,0.4101165533065796,0.7525385022163391,8500k,2003,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,9000000,0.8333333333333334,0.6275526881217957,1.0939878225326538,0.4664350748062134,0.462992787361145,0.7832253575325012,9m,2003,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,9500000,0.5833333333333334,-0.18476592004299164,0.7684786319732666,0.9532443881034851,0.22859472036361694,0.5038371086120605,9500k,2003,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,10000000,0.75,0.16246621310710907,1.0860838890075684,0.9236176013946533,0.35874176025390625,0.6429451704025269,10m,2003,strong,heldout,estimated_from_archived_runtime_states
