source_commit,historical_path,sha256,bytes,data_rows,has_strict_pre_endpoint_field,has_after_loss_field,has_survival_like_fields
e02a753,results/gate1_safety_fx60_no_curriculum_seed0_dev10_eval30/no_curriculum/validation_episode_metrics.csv,d82e778b91d5600870ae9b815e25cbcd19a6d9e0c99e54307f3c7c32f86ed290,18751,30,False,True,True
e02a753,results/gate1_safety_fx60_no_curriculum_seed0_dev10_eval30/no_curriculum/validation_selected_checkpoints.csv,22f1d0c95cac6e8b1cd4e5894377ad240938dee144e73116002e276c8ce4be35,739,1,False,False,False
e02a753,results/gate1_safety_fx60_no_curriculum_seed0_dev60_sweep_eval30/curriculum/validation_checkpoint_summary.csv,c5f728d6e24b7a127b427927a45688e5afa2ac81e3ac07159b6c15fd971c03e1,2460,6,False,False,False
e02a753,results/gate1_safety_fx60_no_curriculum_seed0_dev60_sweep_eval30/curriculum/validation_episode_metrics.csv,b6c56c527e0705a4e8233ff261c5169eb8c4b4111b497ab15d1e9f36d5117639,108653,180,False,True,True
e02a753,results/gate1_safety_fx60_no_curriculum_seed0_dev60_sweep_eval30/curriculum/validation_selected_checkpoints.csv,67f2ac560668f7e76cc02d203000305162be16e5b043b68d76bca26102f82bbb,754,1,False,False,False
e02a753,results/gate1_safety_fx60_no_curriculum_seed0_dev60_sweep_eval30/no_curriculum/validation_checkpoint_summary.csv,1b3aa472da9a970de84d0c2f8a91615e1d1ba8560c15b76b70c152ad571a9185,2366,6,False,False,False
e02a753,results/gate1_safety_fx60_no_curriculum_seed0_dev60_sweep_eval30/no_curriculum/validation_episode_metrics.csv,c2d53a0788c0b600654f132688cdfa2c4fedefa6670ca1ba1cea1bd6791146dd,106012,180,False,True,True
e02a753,results/gate1_safety_fx60_no_curriculum_seed0_dev60_sweep_eval30/no_curriculum/validation_selected_checkpoints.csv,2ce63b649296aed5e8e3464a3cf88cf34c245b480d01123c26cfb7c79ea047a4,730,1,False,False,False
e02a753,results/gate1_safety_fx60_paper_tables/seed_aware_deltas.csv,56b82195757890517a6c42fbdf6713d01ec707a68656f84566414917464c72be,3324,24,False,False,False
e02a753,results/gate1_safety_fx60_weaving_mild_finetune_3seed_dev20/checkpoint_sweep/test_checkpoint_summary.csv,be12aaf3b5b79dfc0224453b6db9ce920a5ed0c0adda634ea777ce3ce7dadae0,1322,3,False,False,False
