cohort,seed,bin_id,update_start,update_end,environment_steps_million_end,utr_mean_train_reward,drtp_mean_train_reward,drtp_minus_utr_train_reward
formal_2301_2305,2301,45,22501,23000,5.888,0.2608430372029543,0.229713027857244,-0.031130009345710308
formal_2301_2305,2302,45,22501,23000,5.888,0.23715992249548434,0.20228736701607705,-0.03487255547940729
formal_2301_2305,2303,45,22501,23000,5.888,0.0888519608398492,0.2677592473179102,0.17890728647806098
formal_2301_2305,2304,45,22501,23000,5.888,0.21619603247568012,0.28928837963938714,0.07309234716370702
formal_2301_2305,2305,45,22501,23000,5.888,0.23547586452960967,0.3155856420695782,0.08010977753996851
formal_2301_2305,2301,46,23001,23500,6.016,0.2651840164810419,0.1956288281995803,-0.0695551882814616
formal_2301_2305,2302,46,23001,23500,6.016,0.23184812331199647,0.19249047679454087,-0.0393576465174556
formal_2301_2305,2303,46,23001,23500,6.016,0.019487757366208825,0.26833943447470665,0.24885167710849782
formal_2301_2305,2304,46,23001,23500,6.016,0.2245182498842478,0.269876817882061,0.04535856799781324
formal_2301_2305,2305,46,23001,23500,6.016,0.22737924048304559,0.30973466822504997,0.08235542774200438
formal_2301_2305,2301,47,23501,24000,6.144,0.2813093663752079,0.2258807662576437,-0.05542860011756423
formal_2301_2305,2302,47,23501,24000,6.144,0.24138587564229966,0.22410013198852538,-0.017285743653774277
formal_2301_2305,2303,47,23501,24000,6.144,0.0815231448415434,0.2631668771207333,0.1816437322791899
formal_2301_2305,2304,47,23501,24000,6.144,0.23929884190112352,0.26163675157725813,0.02233790967613461
formal_2301_2305,2305,47,23501,24000,6.144,0.20103175672516227,0.29960540221631526,0.098573645491153
formal_2301_2305,2301,48,24001,24500,6.272,0.2831720914542675,0.23779170866310598,-0.04538038279116155
formal_2301_2305,2302,48,24001,24500,6.272,0.20531359040737152,0.22812605775892736,0.022812467351555843
formal_2301_2305,2303,48,24001,24500,6.272,0.13654867234174162,0.27239657094329595,0.13584789860155433
formal_2301_2305,2304,48,24001,24500,6.272,0.26881013879179955,0.2975797805637121,0.028769641771912546
formal_2301_2305,2305,48,24001,24500,6.272,0.22931507129967213,0.31020056864619255,0.08088549734652042
formal_2301_2305,2301,49,24501,25000,6.4,0.2691577505990863,0.25138661900162695,-0.017771131597459355
formal_2301_2305,2302,49,24501,25000,6.4,0.24604594549536704,0.2080943572819233,-0.03795158821344374
formal_2301_2305,2303,49,24501,25000,6.4,0.15687612042017282,0.23752429570257663,0.08064817528240381
formal_2301_2305,2304,49,24501,25000,6.4,0.24956941559910775,0.2921295721232891,0.04256015652418135
formal_2301_2305,2305,49,24501,25000,6.4,0.24422180092334747,0.2938117343336344,0.04958993341028692
formal_2301_2305,2301,50,25001,25500,6.528,0.27208495628088714,0.24031334921717643,-0.03177160706371071
formal_2301_2305,2302,50,25001,25500,6.528,0.2366804697662592,0.23850356262922287,0.0018230928629636711
formal_2301_2305,2303,50,25001,25500,6.528,0.21626205757260322,0.2582636218369007,0.04200156426429749
formal_2301_2305,2304,50,25001,25500,6.528,0.25689818120002744,0.2939110572040081,0.03701287600398068
formal_2301_2305,2305,50,25001,25500,6.528,0.23591296465694905,0.2963141644448042,0.06040119978785513
formal_2301_2305,2301,51,25501,26000,6.656,0.2694338671863079,0.22201715970039368,-0.04741670748591423
formal_2301_2305,2302,51,25501,26000,6.656,0.22973368120193483,0.22183350017666817,-0.007900181025266656
formal_2301_2305,2303,51,25501,26000,6.656,0.22602646712213756,0.2835701276361942,0.057543660514056655
formal_2301_2305,2304,51,25501,26000,6.656,0.26018296475708486,0.27037836772203444,0.010195402964949585
formal_2301_2305,2305,51,25501,26000,6.656,0.2347351743876934,0.26685358251444996,0.032118408126756565
formal_2301_2305,2301,52,26001,26500,6.784,0.26268860247731207,0.2237254423573613,-0.03896316011995077
formal_2301_2305,2302,52,26001,26500,6.784,0.2272237168843858,0.22090824089199304,-0.006315475992392766
formal_2301_2305,2303,52,26001,26500,6.784,0.27112742605805396,0.29498278960585594,0.02385536354780199
formal_2301_2305,2304,52,26001,26500,6.784,0.2504174615368247,0.21602763590216637,-0.03438982563465834
formal_2301_2305,2305,52,26001,26500,6.784,0.2329704075306654,0.2822388067394495,0.04926839920878412
