arm,seed,checkpoint_label,condition,J,collision,timeout,constraint_violation,failure_exposure,failure_exposure_all_scheduled,episode_length,risk_set_size,survival_to_onset_fraction,failure_trigger_success_rate_risk_set,pretrigger_collision_count,pretrigger_collision_rate,path_switch_count,direct_path_fraction,relay_path_fraction,task_support_fraction,legal_information_fraction,mean_cache_age,traveled_distance,control_effort
snr_sg,2403,10m,duration_44_60,189.63507335019764,0.02,0.78,0.0,0.98,0.98,255.6,98,0.98,1.0,2,0.02,28.32,0.2475,0.0,0.092,0.33199999999999996,15.183333333333334,146887.9928567505,863.66
snr_sg,2403,10m,duration_44_100,189.35708283420652,0.02,0.64,0.0,0.98,0.98,255.6,98,0.98,1.0,2,0.02,12.94,0.19,0.0,0.425,0.5912,19.85829931972789,146357.82987823486,831.86
snr_sg,2403,10m,duration_44_120,186.29498371150345,0.02,0.6,0.0,0.98,0.98,255.6,98,0.98,1.0,2,0.02,12.35,0.16,0.0,0.5171666666666667,0.6559999999999999,22.6937074829932,146146.7295880127,822.08
snr_sg,2403,10m,compound_28_120,186.808757072147,0.0,0.68,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,14.01,0.15875,0.0,0.39441666666666664,0.5346666666666667,24.85141666666667,149155.38400268555,870.05
snr_sg,2403,10m,compound_60_120,185.90240769945086,0.02,0.61,0.0,0.98,0.98,255.6,98,0.98,1.0,2,0.02,13.43,0.16291666666666668,0.0,0.64875,0.7849166666666667,22.024319727891154,145958.9371899414,792.26
snr_sg,2404,10m,nominal,189.29054214904085,0.0,0.65,0.0,nan,nan,260.0,0,nan,nan,0,nan,17.05,0.0,0.0,0.0,0.0,nan,159172.3091558838,1039.8
snr_sg,2404,10m,f0_seen_44_80,190.8206517552561,0.0,0.68,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,12.37,0.40575000000000006,0.0,0.454375,1.0,18.97775,156721.7739743042,959.64
snr_sg,2404,10m,timing_28_80,187.87159198527922,0.0,0.65,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,11.0,0.531,0.0,0.3835,1.0,17.382083333333334,157139.45757019043,978.79
snr_sg,2404,10m,timing_36_80,187.8395953703439,0.0,0.63,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,11.84,0.484,0.0,0.39637500000000003,1.0,17.509083333333333,157000.1143435669,972.04
snr_sg,2404,10m,timing_52_80,182.62867869301698,0.0,0.66,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,12.77,0.33049999999999996,0.0,0.5173749999999999,1.0,20.740916666666667,155934.56793273927,953.91
snr_sg,2404,10m,timing_60_80,180.63464620276588,0.0,0.67,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,13.01,0.245,0.0,0.596375,1.0,21.72508333333333,155521.97040252684,945.42
snr_sg,2404,10m,duration_44_40,198.8888630416803,0.0,0.56,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,8.53,0.61425,0.0,0.24600000000000002,1.0,15.918833333333334,158317.96065246582,994.74
snr_sg,2404,10m,duration_44_60,190.61979514474982,0.0,0.63,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,10.79,0.48266666666666663,0.0,0.37233333333333335,1.0,16.847,157181.188175354,976.95
snr_sg,2404,10m,duration_44_100,179.85045426029245,0.0,0.67,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,13.72,0.3503,0.0,0.514,1.0,21.589533333333335,156016.72272308348,947.26
snr_sg,2404,10m,duration_44_120,175.99268442126456,0.0,0.68,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,14.83,0.3175,0.0,0.5529999999999999,1.0,24.441833333333335,155725.43359558107,927.75
snr_sg,2404,10m,compound_28_120,179.49611956143286,0.0,0.63,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,13.21,0.401,0.0,0.51025,1.0,22.75472222222222,155934.6097994995,928.45
snr_sg,2404,10m,compound_60_120,171.04792196129682,0.0,0.67,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,15.25,0.21941666666666668,0.0,0.6478333333333333,1.0,27.801166666666667,155007.2032171631,923.08
snr_sg,2405,10m,nominal,181.01139255048707,0.0,0.67,0.0,nan,nan,260.0,0,nan,nan,0,nan,1.0,0.0,0.0,0.0,0.0,nan,166810.9702883911,972.82
snr_sg,2405,10m,f0_seen_44_80,171.84367911314592,0.0,0.62,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,3.0,0.347625,0.0,0.1705,0.504375,21.630958333333332,165620.23313659668,975.73
snr_sg,2405,10m,timing_28_80,165.30800516434013,0.0,0.64,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,3.0,0.26075,0.0,0.044125000000000004,0.29825,22.692083333333336,165792.7915866089,986.77
snr_sg,2405,10m,timing_36_80,169.16641419177876,0.0,0.61,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,3.0,0.316625,0.0,0.096,0.40275,21.461624999999998,165719.34399353026,980.61
snr_sg,2405,10m,timing_52_80,176.23281506057828,0.0,0.57,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,3.0,0.350125,0.0,0.264125,0.596625,22.662125,165658.1124572754,970.28
snr_sg,2405,10m,timing_60_80,177.99290837520732,0.0,0.58,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,3.04,0.354125,0.0,0.359,0.6941250000000001,23.655375,165659.4569125366,969.78
snr_sg,2405,10m,duration_44_40,172.14454271269963,0.0,0.7,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,3.0,0.023250000000000003,0.0,0.0,0.023250000000000003,21.194416666666665,166259.6410470581,967.52
