run,reference,tape,condition,episode_id,P1,P2,P3,failure_exposure
R1_B_REF,B,T2,timing,460005,-0.006436023793226263,-0.0,0.0,True
R1_B_REF,B,T2,timing,460006,-0.00858645465178105,-0.0,0.0,True
R1_B_REF,B,T2,timing,460007,-0.007940409723934968,-0.0,0.0,True
R1_B_REF,B,T2,timing,460008,-0.006610490462238809,-0.0,0.0,True
R1_B_REF,B,T2,timing,460009,-0.00657062106438046,-0.0,0.0,True
R1_B_REF,B,T2,duration,460000,-0.009445724984582082,-0.0,0.0,True
R1_B_REF,B,T2,duration,460001,-0.006274521535390512,-0.0,0.0,True
R1_B_REF,B,T2,duration,460002,-0.008097811404409593,-0.0,0.0,True
R1_B_REF,B,T2,duration,460003,-0.01047711594147775,-0.0,0.0,True
R1_B_REF,B,T2,duration,460004,-0.006969168664663893,-0.0,0.0,True
R1_B_REF,B,T2,duration,460005,-0.007249150828502343,-0.0,0.0,True
R1_B_REF,B,T2,duration,460006,-0.009539869675159745,-0.0,0.0,True
R1_B_REF,B,T2,duration,460007,-0.008880317996068763,-0.0,0.0,True
R1_B_REF,B,T2,duration,460008,-0.007269827411581112,-0.0,0.0,True
R1_B_REF,B,T2,duration,460009,-0.00728861879171414,-0.0,0.0,True
R1_B_REF,B,T2,compound,460000,-0.004920482362149016,-0.0,0.0,True
R1_B_REF,B,T2,compound,460001,-0.004058957149487838,-0.0,0.0,True
R1_B_REF,B,T2,compound,460002,-0.004369642624335402,-0.0,0.0,True
R1_B_REF,B,T2,compound,460003,-0.0052605398507240405,-0.0,0.0,True
R1_B_REF,B,T2,compound,460004,-0.003917191439568946,-0.0,0.0,True
R1_B_REF,B,T2,compound,460005,-0.004287106737656762,-0.0,0.0,True
R1_B_REF,B,T2,compound,460006,-0.004909852898632025,-0.0,0.0,True
R1_B_REF,B,T2,compound,460007,-0.004991117430353016,-0.0,0.0,True
R1_B_REF,B,T2,compound,460008,-0.0040242650950268,-0.0,0.0,True
R1_B_REF,B,T2,compound,460009,-0.00413986137549046,-0.0,0.0,True
R1_B_REF,B,T3,f0,470000,-0.008236106606013848,-0.0,0.0,True
R1_B_REF,B,T3,f0,470001,-0.008362579763247132,-0.0,0.0,True
R1_B_REF,B,T3,f0,470002,-0.0073494880936550416,-0.0,0.0,True
R1_B_REF,B,T3,f0,470003,-0.006422267871539028,-0.0,0.0,True
R1_B_REF,B,T3,f0,470004,-0.00896831802052211,-0.0,0.0,True
R1_B_REF,B,T3,f0,470005,-0.008328632042062033,-0.0,0.0,True
R1_B_REF,B,T3,f0,470006,-0.007858970559077517,-0.0,0.0,True
R1_B_REF,B,T3,f0,470007,-0.009202737000313719,-0.0,0.0,True
R1_B_REF,B,T3,f0,470008,-0.007881747111890717,-0.0,0.0,True
R1_B_REF,B,T3,f0,470009,-0.008669594179264953,-0.0,0.0,True
R1_B_REF,B,T3,timing,470000,-0.007426393627181354,-0.0,0.0,True
R1_B_REF,B,T3,timing,470001,-0.007392832341816513,-0.0,0.0,True
R1_B_REF,B,T3,timing,470002,-0.0065094312107455725,-0.0,0.0,True
R1_B_REF,B,T3,timing,470003,-0.005678215315578779,-0.0,0.0,True
R1_B_REF,B,T3,timing,470004,-0.008058586604227643,-0.0,0.0,True
R1_B_REF,B,T3,timing,470005,-0.0073442772980003195,-0.0,0.0,True
R1_B_REF,B,T3,timing,470006,-0.007025157180805347,-0.0,0.0,True
R1_B_REF,B,T3,timing,470007,-0.008115455547075786,-0.0,0.0,True
R1_B_REF,B,T3,timing,470008,-0.007142168361186358,-0.0,0.0,True
R1_B_REF,B,T3,timing,470009,-0.007744070427176386,-0.0,0.0,True
R1_B_REF,B,T3,duration,470000,-0.008236106606013848,-0.0,0.0,True
R1_B_REF,B,T3,duration,470001,-0.008362579763247132,-0.0,0.0,True
R1_B_REF,B,T3,duration,470002,-0.0073494880936550416,-0.0,0.0,True
